DBName,MaxTemp,TimeMaxTemp,NumDetections
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-04-17.db,34.5,2025.04.17_11.34.45,0
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-04-28.db,39.599998474121094,2025.04.28_04.14.24,0
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-05-06.db,44.20000076293945,2025.05.06_19.19.06,0
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-05-25.db,36.29999923706055,2025.05.25_15.29.22,9
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-05-26.db,48.20000076293945,2025.05.26_11.27.02,85
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-05-27.db,30.299999237060547,2025.05.27_09.39.53,0
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-06-23.db,44.29999923706055,2025.06.23_16.06.15,0
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-06-24.db,44.79999923706055,2025.06.24_04.35.15,0
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-06-25.db,43.70000076293945,2025.06.25_05.46.34,0
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-06-26.db,43.900001525878906,2025.06.26_06.47.47,0
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-06-30.db,43.29999923706055,2025.06.30_14.53.56,14
C:\Users\user\Desktop\Yakir Avner\DBTraining\Galshan20\Galshan20DB\Galshan_2025-07-01.db,54.400001525878906,2025.07.01_10.49.40,4
